text,category
"balanced competing priorities under deadline. designed relational schemas and wrote migrations. documented work for future maintainers. used git for version control. experienced with sql, typescript, docker. took part in retrospectives and planning.",Software Engineering
"used git for version control. imaged and deployed laptops for new starters. supported video conferencing and meeting room equipment. experienced with linux, windows, active directory. documented work for future maintainers. took part in retrospectives and planning. escalated network faults to the infrastructure team.",IT Support
"took part in retrospectives and planning. reported campaign performance against acquisition targets. managed the content calendar across three channels. wrote python scripts to automate repetitive work. experienced with sql, excel. imaged and deployed laptops for new starters. communicated progress in daily stand ups. collaborated with cross functional stakeholders.",Marketing
"wrote python scripts to automate repetitive work. hardened server configurations and rotated credentials. balanced competing priorities under deadline. experienced with linux, docker. triaged vulnerability scan findings and tracked remediation.",Cybersecurity
"cleaned and imputed missing values across large datasets. experienced with jupyter, tableau, sql. documented work for future maintainers. worked in an agile team with two week sprints. engineered features from raw transaction logs. trained a gradient boosting classifier on customer churn data.",Data Science
"documented work for future maintainers. collaborated with cross functional stakeholders. experienced with google analytics, hubspot. coordinated a product launch with sales and support. wrote python scripts to automate repetitive work. wrote email sequences and measured open and click rates. briefed designers on campaign creative.",Marketing
"communicated progress in daily stand ups. balanced competing priorities under deadline. supported video conferencing and meeting room equipment. experienced with windows, linux.",IT Support
"took part in retrospectives and planning. communicated progress in daily stand ups. planned and ran paid social campaigns within budget. wrote python scripts to automate repetitive work. experienced with tableau, python, sql. ran A/B tests and reported statistical significance.",Data Science
"worked in an agile team with two week sprints. walked non technical staff through remote troubleshooting. managed the content calendar across three channels. used git for version control. wrote python scripts to automate repetitive work. briefed designers on campaign creative. experienced with sql, hubspot.",Marketing
"led a tabletop exercise for incident response. experienced with jupyter, sql, python. communicated progress in daily stand ups. documented work for future maintainers. built regression models to forecast quarterly demand.",Data Science
"wrote python scripts to automate repetitive work. experienced with tableau, python. engineered features from raw transaction logs. balanced competing priorities under deadline.",Data Science
"built responsive interfaces in React and TypeScript. experienced with sql, jupyter. used pandas and numpy for exploratory data analysis. communicated progress in daily stand ups. collaborated with cross functional stakeholders.",Data Science
"communicated progress in daily stand ups. wrote unit and integration tests to raise coverage. balanced competing priorities under deadline. used git for version control. documented work for future maintainers. designed and shipped REST APIs consumed by mobile clients. used pandas and numpy for exploratory data analysis. experienced with python, typescript.",Software Engineering
"reviewed code for injection and authentication flaws. performed penetration testing on internal web applications. hardened server configurations and rotated credentials. trained a gradient boosting classifier on customer churn data. used git for version control. worked in an agile team with two week sprints. balanced competing priorities under deadline. experienced with wireshark, linux, docker. documented work for future maintainers.",Cybersecurity
"administered user accounts and group permissions. balanced competing priorities under deadline. escalated network faults to the infrastructure team. experienced with active directory, linux, windows. managed the asset inventory and licence renewals. wrote python scripts to automate repetitive work.",IT Support
"tuned hyperparameters with cross validation. communicated progress in daily stand ups. engineered features from raw transaction logs. experienced with tableau, jupyter. wrote python scripts to automate repetitive work.",Data Science
"experienced with google analytics, sql, hubspot. improved organic search ranking through on page SEO. collaborated with cross functional stakeholders. wrote python scripts to automate repetitive work. documented work for future maintainers. reported campaign performance against acquisition targets. briefed designers on campaign creative.",Marketing
"investigated phishing reports and contained incidents. hardened server configurations and rotated credentials. balanced competing priorities under deadline. triaged vulnerability scan findings and tracked remediation. wrote python scripts to automate repetitive work. collaborated with cross functional stakeholders. experienced with linux, docker. improved organic search ranking through on page SEO.",Cybersecurity
"experienced with docker, wireshark. communicated progress in daily stand ups. hardened server configurations and rotated credentials. worked in an agile team with two week sprints. wrote detection rules for the SIEM platform. designed and shipped REST APIs consumed by mobile clients. performed penetration testing on internal web applications. took part in retrospectives and planning.",Cybersecurity
"balanced competing priorities under deadline. took part in retrospectives and planning. used git for version control. tuned hyperparameters with cross validation. worked in an agile team with two week sprints. engineered features from raw transaction logs. experienced with jupyter, tableau.",Data Science
